p_a,h,i,assortativity
0.8,0.8,15,0.15717006697187855
0.8,0.8,16,0.18340363539899454
0.8,0.8,17,0.16984287944985862
0.8,0.8,18,0.1823018106203002
0.8,0.8,19,0.1628398476083321
0.8,0.9,0,0.23182550520918563
0.8,0.9,1,0.23493565351749665
0.8,0.9,2,0.22138158760877996
0.8,0.9,3,0.21250722431104258
0.8,0.9,4,0.23644369360943904
0.8,0.9,5,0.2329862642916695
0.8,0.9,6,0.22670334100576514
0.8,0.9,7,0.2436446852538256
0.8,0.9,8,0.22401582238025555
0.8,0.9,9,0.20714644019379896
0.8,0.9,10,0.23860281120228077
0.8,0.9,11,0.2387218917441276
0.8,0.9,12,0.2304187576018809
0.8,0.9,13,0.22916138906897418
0.8,0.9,14,0.23810319679869144
0.8,0.9,15,0.22962231000879552
0.8,0.9,16,0.22146987932715023
0.8,0.9,17,0.2337392997295936
0.8,0.9,18,0.2172094086386679
0.8,0.9,19,0.2324667212564137
0.8,1.0,0,0.31491929261453233
0.8,1.0,1,0.29871466503122734
0.8,1.0,2,0.30550901090087706
0.8,1.0,3,0.3013449411962007
0.8,1.0,4,0.28856904776847336
0.8,1.0,5,0.2925143811649205
0.8,1.0,6,0.30599272745796363
0.8,1.0,7,0.29512688556693734
0.8,1.0,8,0.29330468404826415
0.8,1.0,9,0.29696758941469
0.8,1.0,10,0.2979178888121904
0.8,1.0,11,0.2951169018147858
0.8,1.0,12,0.30425307311023386
0.8,1.0,13,0.29386329888728263
0.8,1.0,14,0.29471329704721044
0.8,1.0,15,0.2913329645945899
0.8,1.0,16,0.27579638597820344
0.8,1.0,17,0.30187926877124593
0.8,1.0,18,0.3040922129122225
0.8,1.0,19,0.2756229634314124
