b_p,network,h_p,offset,run_index,active_set,majority
0.01,upsjobs,0.5,60,9,648.8137,494.8612
0.01,upsjobs,0.8,-60,0,700.6123,425.3955
0.01,upsjobs,0.8,-60,1,700.7652,425.7561
0.01,upsjobs,0.8,-60,2,701.0783,425.7621
0.01,upsjobs,0.8,-60,3,700.8171,425.7914
0.01,upsjobs,0.8,-60,4,701.0047,425.8159
0.01,upsjobs,0.8,-60,5,700.5879,425.5435
0.01,upsjobs,0.8,-60,6,700.2758,425.3057
0.01,upsjobs,0.8,-60,7,700.5248,425.427
0.01,upsjobs,0.8,-60,8,700.6951,425.5116
0.01,upsjobs,0.8,-60,9,700.5087,425.4033
0.01,upsjobs,0.8,-50,0,703.8566,438.3329
0.01,upsjobs,0.8,-50,1,704.0525,438.5602
0.01,upsjobs,0.8,-50,2,704.0614,438.5256
0.01,upsjobs,0.8,-50,3,704.2408,438.7112
0.01,upsjobs,0.8,-50,4,703.6881,438.1972
0.01,upsjobs,0.8,-50,5,704.2066,438.6642
0.01,upsjobs,0.8,-50,6,704.4378,438.8435
0.01,upsjobs,0.8,-50,7,703.9356,438.3143
0.01,upsjobs,0.8,-50,8,704.4601,438.9296
0.01,upsjobs,0.8,-50,9,703.8598,438.3202
0.01,upsjobs,0.8,-40,0,707.8975,451.6781
0.01,upsjobs,0.8,-40,1,707.7383,451.5794
0.01,upsjobs,0.8,-40,2,707.8297,451.5514
0.01,upsjobs,0.8,-40,3,707.7129,451.3239
0.01,upsjobs,0.8,-40,4,707.7326,451.375
0.01,upsjobs,0.8,-40,5,707.5588,451.4199
0.01,upsjobs,0.8,-40,6,707.4797,451.0856
0.01,upsjobs,0.8,-40,7,707.3554,451.1634
0.01,upsjobs,0.8,-40,8,707.6809,451.3975
0.01,upsjobs,0.8,-40,9,707.9969,451.644
0.01,upsjobs,0.8,-30,0,706.1951,461.3203
0.01,upsjobs,0.8,-30,1,706.0419,460.9839
0.01,upsjobs,0.8,-30,2,706.3545,461.4004
0.01,upsjobs,0.8,-30,3,706.6564,461.5571
0.01,upsjobs,0.8,-30,4,706.9061,461.6625
0.01,upsjobs,0.8,-30,5,706.5179,461.3843
0.01,upsjobs,0.8,-30,6,706.3263,461.3094
